Rank,Name,Symbol,marketcap,price (USD),country
1,DBS,DBSDF,69968297984,27.19,Singapore
2,Sea (Garena),SE,67218579456,120.52,Singapore
3,OCBC Bank,O39.SI,39860860855,8.87,Singapore
4,UOB,U11.SI,38018739886,22.74,Singapore
5,Singtel,SNGNF,31367860224,1.9,Singapore
6,Wilmar,WLMIF,21782740992,3.46,Singapore
7,Grab Holdings,GRAB,19827777536,5.3,Singapore
8,Singapore Airlines,SINGF,11622254592,3.81,Singapore
9,CapitaLand Mall Trust,C38U.SI,10311269779,1.56,Singapore
10,ST Engineering,SJX.F,8689042891,2.75,Singapore
11,Ascendas Reit,A17U.SI,8660805839,2.06,Singapore
12,Keppel,BN4.SI,7884876100,4.33,Singapore
13,Flex,FLEX,7592447488,16.36,Singapore
14,Singapore Exchange,SPXCF,7502625280,7.02,Singapore
15,Great Eastern,G07.SI,7269581073,15.36,Singapore
16,Genting Singapore,G13.SI,6829038262,0.57,Singapore
17,Jardine Singapore,C07.SI,6365511722,16.11,Singapore
18,BOC Aviation,2588.HK,6327966591,9.12,Singapore
19,Mapletree Logistics Trust,M44U.SI,6153783210,1.29,Singapore
20,Mapletree Industrial Trust,ME8U.SI,4998070683,1.88,Singapore
21,City Developments,C09.SI,4701071118,5.18,Singapore
22,Olam,O32.SI,4647087787,1.26,Singapore
23,UOL Group,U14.SI,4463843032,5.29,Singapore
24,Mapletree Commercial Trust,N2IU.SI,4423728083,1.33,Singapore
25,Frasers Logistics &amp; Industrial Trust,BUOU.SI,3793952466,1.03,Singapore
26,Suntec REIT,T82U.SI,3404668529,1.2,Singapore
27,SATS,S58.SI,3294102728,2.94,Singapore
28,Sembcorp,U96.SI,3224870992,1.81,Singapore
29,Kulicke and Soffa Industries,KLIC,3118758144,50.06,Singapore
30,Keppel REIT,K71U.SI,3075276088,0.83,Singapore
31,Kenon Holdings,KEN,2942876416,54.62,Singapore
32,NetLink Trust,CJLU.SI,2780822657,0.71,Singapore
33,Mapletree North Asia Commercial Trust,RW0U.SI,2713170849,0.77,Singapore
34,United Industrial Corporation,U06.SI,2659125237,1.86,Singapore
35,ComfortDelGro,C52.SI,2307939787,1.06,Singapore
36,HPH Trust,HCTPF,2291019520,0.26,Singapore
37,TDCX,TDCX,1912882176,13.39,Singapore
38,Yanlord,Z25.SI,1656840064,0.86,Singapore
39,Karooooo,KARO,1048004288,33.86,Singapore
40,Triterras,TRIT,136441280,1.64,Singapore
41,Society Pass,SOPA,58275424,2.51,Singapore
